date,service,anomaly_type,expected_cost,actual_cost,root_cause,severity
2026-02-01,Security & Compliance,runaway-autoscaling,1365.98,2731.96,misconfigured max capacity,P2
2026-06-20,Messaging,deployment-spike,1077.06,2154.11,large deployment,P2
2026-02-28,Kubernetes/EKS,unexpected-egress,331.68,414.6,cross-region transfer,P4
2026-06-03,Serverless,idle-resource-growth,1872.3,2340.37,non-prod left running,P4
2026-01-31,Analytics/ML,storage-growth,1770.74,5312.23,missing lifecycle policy,P1
2026-05-07,Backup/Snapshots,unbudgeted-service,1715.25,2572.88,new service launched,P3
2026-01-18,Compute,runaway-autoscaling,657.17,985.76,misconfigured max capacity,P3
2026-04-17,Storage,deployment-spike,491.41,982.83,large deployment,P2
2026-03-03,Database,unexpected-egress,425.34,638.01,cross-region transfer,P3
2026-06-26,Data Transfer,idle-resource-growth,1952.63,2928.95,non-prod left running,P3
2026-04-03,Networking,storage-growth,1980.6,2970.89,missing lifecycle policy,P3
2026-06-07,Monitoring,unbudgeted-service,837.36,1256.04,new service launched,P3
2026-01-06,Security & Compliance,runaway-autoscaling,1297.83,2595.65,misconfigured max capacity,P2
2026-01-24,Messaging,deployment-spike,2306.51,6919.54,large deployment,P1
2026-04-20,Kubernetes/EKS,unexpected-egress,1032.87,1291.09,cross-region transfer,P4
2026-06-27,Serverless,idle-resource-growth,2248.58,3372.87,non-prod left running,P3
2026-05-08,Analytics/ML,storage-growth,402.01,1206.03,missing lifecycle policy,P1
2026-05-04,Backup/Snapshots,unbudgeted-service,457.92,686.87,new service launched,P3
2026-04-09,Compute,runaway-autoscaling,864.68,2594.04,misconfigured max capacity,P1
2026-04-07,Storage,deployment-spike,1893.71,3787.43,large deployment,P2
2026-04-22,Database,unexpected-egress,2061.57,4123.13,cross-region transfer,P2
2026-01-28,Data Transfer,idle-resource-growth,1663.23,2494.84,non-prod left running,P3
2026-02-13,Networking,storage-growth,792.28,1584.56,missing lifecycle policy,P2
2026-06-02,Monitoring,unbudgeted-service,1873.3,2341.62,new service launched,P4
2026-06-23,Security & Compliance,runaway-autoscaling,1085.22,2170.44,misconfigured max capacity,P2
2026-03-18,Messaging,deployment-spike,2381.16,3571.74,large deployment,P3
2026-03-05,Kubernetes/EKS,unexpected-egress,787.64,984.55,cross-region transfer,P4
2026-01-06,Serverless,idle-resource-growth,921.96,1843.91,non-prod left running,P2
2026-05-25,Analytics/ML,storage-growth,651.45,977.18,missing lifecycle policy,P3
2026-01-02,Backup/Snapshots,unbudgeted-service,1170.07,2340.15,new service launched,P2
2026-06-24,Compute,runaway-autoscaling,1559.83,6239.3,misconfigured max capacity,P1
2026-03-02,Storage,deployment-spike,1171.8,3515.39,large deployment,P1
2026-02-02,Database,unexpected-egress,2150.07,4300.14,cross-region transfer,P2
2026-03-02,Data Transfer,idle-resource-growth,1707.6,2561.4,non-prod left running,P3
2026-01-21,Networking,storage-growth,1141.36,3424.07,missing lifecycle policy,P1
2026-01-07,Monitoring,unbudgeted-service,2339.37,3509.06,new service launched,P3
2026-02-12,Security & Compliance,runaway-autoscaling,1758.76,3517.51,misconfigured max capacity,P2
2026-06-22,Messaging,deployment-spike,554.42,693.02,large deployment,P4
